distributor,distribution_year,distribution_period,region,reporting_year,reporting_period,country,party_type,track_title,track_id,iswc,isrc,show_name,episode_name,use_code,income_type,raw_income_type,general_source,music_user,raw_music_user,performance_period,survey_type,number_of_plays,licensor_payor,payable_amount,base_amount,bonus_amount,is_adjustment,sales_period
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,VEVO,VEVO,2017-01-01,,622,BMI,0.17,0.17,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,184830,BMI,31.35,31.35,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,171421,BMI,29.13,29.13,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2017-01-01,,15868,BMI,3.38,3.38,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2017-01-01,,12060,BMI,2.57,2.57,0.0,N,
BMI,2017,4,intl,2017,20174,United Kingdom,W,HABLAME 2,24412280,,,,,OTHER,PERFORMANCE,,INTERNATIONAL,OTHER,GENERAL,2017-01-01,,0,BMI,0.55,0.55,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2018-01-01,,10620,BMI,5.8,5.8,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2018-01-01,,6043,BMI,3.3,3.3,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2018-01-01,,30440,BMI,22.23,22.23,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2018-01-01,,14609,BMI,10.67,10.67,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2018-01-01,,6818,BMI,1.96,1.96,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2018-01-01,,2822,BMI,0.81,0.81,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2018-01-01,,14091,BMI,1.9,1.9,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2018-01-01,,5317,BMI,0.72,0.72,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,OTHER,OTHER,APPLEOMNBUS2017,2017-01-01,,1,BMI,1.22,1.22,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,OTHER,OTHER,APPLEOMNBUS2017,2017-01-01,,1,BMI,0.74,0.74,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2018-01-01,,179,BMI,0.04,0.04,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2018-01-01,,88,BMI,0.02,0.02,0.0,N,
BMI,2018,1,domestic,2018,20181,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA,2018-01-01,,1566941,BMI,300.05,300.05,0.0,N,
